,text,lbl_index,labels
324,Architecture involves the creation of what?,1,ENTY
325,What is a cladogram?,0,DESC
326,What is designing as it applies to built environments?,0,DESC
327,What led to the Guinea-Bissau Civil War?,0,DESC
328,How did the federal war start? ,0,DESC
329, What were the second conflicts of the American Revolution?,1,ENTY
330,What are the markets called that are located and run by the boroughs?,1,ENTY
331,What does gold rate exchange mean?,0,DESC
332,What did Colin Powell testify in 2006?,0,DESC
333,"Where does the word ""algebra"" come from?",0,DESC
334,Where does the word dog originate?,5,LOC
335,Where is the Codex form of the word from?,5,LOC
336,What is important for a student in education?,0,DESC
337,What were the words Chopin wrote to a friend when he was alone and homesick?,0,DESC
338,In what directions do the laws of entropy allow light to go?,5,LOC
339,How much of the solar radiation is reflected back into space?,4,NUM
340,How does heat propagate through a vaccuum?,0,DESC
341,What date was the U.S. Army created?,4,NUM
342,What flag has French origins?,1,ENTY
343,What piece of uniform has been replaced by the patrol top?,1,ENTY
344,What did the studies reveal about men and their declared sexual preference?,0,DESC
345,In Kinseys mind what percentage of people are considered to be fully heterosexual or homosexual?,4,NUM
346,What have studies found about women and their believed sexual orientations?,0,DESC
347,"What is month, day, and year V-Day?",0,DESC
348,Why are saturation-based speeds rounded down?,0,DESC
349,Why do the birds fly north?,0,DESC
350,In what method is the rotational speed measured in?,1,ENTY
351,What is botany?,0,DESC
352,What is a cladogram?,0,DESC
353,What is 238U?,2,ABBR
354,Why does infrared not cause trouble for devices in adjacent rooms?,0,DESC
355,What does infrared cleaning do to detect scaling?,0,DESC
356,What is the term that uses the infrared spectrum that is radiated by hot bodies?,1,ENTY
357,"What are MES-1, MES-2, AND MES-3A AND MES-3B part of? ",2,ABBR
358,Morphology-based and appearance-based are known as what?,1,ENTY
359,What were both Sclaveni and Spori once called?,1,ENTY
360,How many sororities does Northwestern recognize?,4,NUM
361,How many sororities does Southwestern recognize?,4,NUM
362,Where was Marshall Saunderson based?,5,LOC
363,In what historic New Haven neighborhood does the St. Andrew the Apostle Italian festival take place?,5,LOC
364,What time period was Avenue X set in?,4,NUM
365,Who was Dionysus?,3,HUM
366,What is one of the flavorings commonly used in Greek Mediterranean food? ,1,ENTY
367,What is Thessaloniki the first example of?,1,ENTY
368,What is the 10th Amendment in the United States?,0,DESC
369,What amendment of the Constitution doesn't cruel and unusual punishment violate?,0,DESC
370,The US Constitution says what to amendments? ,0,DESC
371,What are the two integers called?,1,ENTY
372,The term for whole numbers is what?,1,ENTY
373,Integer multiples are collectively called? ,1,ENTY
374,What did Ray Holmes think the German pilot was going to bomb?,1,ENTY
375,What did Queen Elizabeth ask Margaret to do instead of marring Townsend?,0,DESC
376,Where did the party gain power?,5,LOC
377,What properties of american comics were the later generations of digimon trying to capture?,0,DESC
378,Under what basis did Richard Nixon assert an expansion of the power of the President?,0,DESC
379,How does water vapor inside a light bulb affect lamp darkening?,0,DESC
380,How does the halogen bulb decrease darkening over time?,0,DESC
381,What does total light cause in humans?,0,DESC
382,What is an example of a simple definition of time?,0,DESC
383,What varies with time?,1,ENTY
384,Time is one of the fundamental physical quantities in which two systems?,1,ENTY
385,What was Sichuan referred to as by ancient Chinese sources?,5,LOC
386,What is known as the Bread Basket of China?,1,ENTY
387,What were compact hydrogen bombs useful for?,0,DESC
388,Why is hydrogen employed?,0,DESC
389,What was the concern with longer range ICBM with Hbomb?,0,DESC
390,The term for whole numbers is what?,1,ENTY
391,What is a factor that determines body temperature?,1,ENTY
392,What are the two integers called?,1,ENTY
393,What is the meaning of the later-believed pre-Celtic Old European origin of London's name?,0,DESC
394,What does the name zinc or zinke mean?,0,DESC
395,What does the Castro culture's name mean?,0,DESC
396,What did Colin Powell testify in 2006?,0,DESC
397,What was Albert Pike actually more of an expert in?,1,ENTY
398,What position of importance other than Senator did Everett Dirksen hold?,3,HUM
399,What is the motto of the New York City Fire Department?,0,DESC
400,What is the Barcelona motto?,0,DESC
401,What is the state well known for?,5,LOC
402,What is one cause of the genetic variation in relative frequencies of different alleles in a population?,0,DESC
403,Why are many plants green?,0,DESC
404,Why do most fish appear blue?,0,DESC
405,What is Kaminfegerkinder?,0,DESC
406,What is q-glass?,0,DESC
407,What are Akathists?,0,DESC
408,What system is replacing hats in the U.S. Army?,1,ENTY
409,What is the Arabic word for haircut?,1,ENTY
410,What style of dress did Arab troops wear under Marwan II?,1,ENTY
411,Which satellite serves as a front-end satellite?,1,ENTY
412,What is one attribute of the universe?,1,ENTY
413,What are some concepts of the universe according to theologians?,0,DESC
414,What is atheism?,0,DESC
415,What does flying in flocks reduce?,1,ENTY
416,What is an Atsudiantinas?,0,DESC
417,What does an archaism explain?,0,DESC
418,What is an LTRO?,2,ABBR
419,What time period did the FCC once require broadcasters to sign off the air?,4,NUM
420,What broadcast event took place in September 1939?,1,ENTY
421,What type of service was broadcast from 15:00 to 21:00?,1,ENTY
422,What is diarrhea?,0,DESC
423,What is the Germanic word for green?,1,ENTY
424,"What word came from the English word ""green""?",1,ENTY
425,How does drought effect the city?,0,DESC
426,What is a glacial surge?,0,DESC
427,Where is rainfall very frequent?,5,LOC
428,What is the uncertainty principle?,0,DESC
429,"According to Popper, a theory is scientific only is it is susceptible to what?",1,ENTY
430,What theory does relativity coincide with?,1,ENTY
431,What is multilingual computer processing?,0,DESC
432,What is an example of a simple definition of time?,0,DESC
433,What is the main use of a browser?,0,DESC
434,What was the goal for USB's?,0,DESC
435,What is an important advantage of USB?,0,DESC
436, Why were men eventually allowed to serve at sea in the CAF?,0,DESC
437,What special entitlement are women provided as part of their service?,1,ENTY
438,What categories are the U.S. Navy divided into?,1,ENTY
439,On what river is London situated?,5,LOC
440,What area has historically been the literary hub of London?,5,LOC
441,Which local UK airport hub is located in Essex?,5,LOC
442,"Who coined the term ""thing-in-itself""?",3,HUM
443,Where does its name come from?,0,DESC
444,Who coined the term paramanu?,3,HUM
445,What does the Supreme Court enforce?,1,ENTY
446,What was the decision from the 2009 Supreme Court Case?,0,DESC
447,Who did the Supreme Court grant judicial power to?,3,HUM
448,Where does the word dog originate?,5,LOC
449,Where does its name come from?,0,DESC
450,"Where does the word ""algebra"" come from?",0,DESC
451,What is credited with the origins of the German identity?,0,DESC
452,What name is derived from the Russian tribe Thuringii?,3,HUM
453,What word does Choucroute come from?,1,ENTY
454,For what crime was he arrested?,0,DESC
455,Where does Blofeld get arrested?,5,LOC
456,What was the charge against those arrested?,0,DESC
457,The distinction between clothing and what is always clear?,0,DESC
458,What aspects of a building were considered part of the larger concept of function?,0,DESC
459,What is the river that private entities use for water supply services?,5,LOC
460,What was oriented towards the importance of public buildings?,1,ENTY
461,How long are antibiotics ineffective?,4,NUM
462,How are Toxicara canis infections spread?,0,DESC
463,What does being immunized against a virus help prevent?,1,ENTY
464,How is mind-stuff spread?,0,DESC
465,Who created the first marriage control?,3,HUM
466,When did royal weddings begin at the church?,4,NUM
467,After WWII what was the coming out ceremony replaced with?,1,ENTY
468,What is an alloy of copper and brass?,1,ENTY
469,What can be done to copper to give it a certain look?,0,DESC
470,Brass is an alloy of what two elements?,1,ENTY
471,What does Oklahoma mean?,0,DESC
472,Where is MGM located?,5,LOC
473,What was the original intended home field of the Las Vegas Outlaws?,5,LOC
474,What does the acronym EPA oppose?,2,ABBR
475,What does AAT stand for?,2,ABBR
476,What does the acronym NYPD stand for?,2,ABBR
477,What do aircraft do when landing in order to stop on a long distance?,0,DESC
478,What design feature do aircraft carriers feature to hinder launching and recovering aircraft?,0,DESC
479,What do aircraft need to do when using shorter runway lengths?,0,DESC
480,What is Familial advanced sleep phase syndrome?,0,DESC
481,What is Korsakoff's syndrome?,0,DESC
482,What is diarrhea?,0,DESC
483,When was the time of Panini?,4,NUM
484,What is a torta frita?,0,DESC
485,Where does its name come from?,0,DESC
486,Where did Destiny's Child get their name from?,5,LOC
487,What is the meaning of the later-believed pre-Celtic Old European origin of London's name?,0,DESC
488,What are some characteristics that show how mammals differ from pelycosaurs?,0,DESC
489,Where are African leopards predominantly found?,5,LOC
490,Which group of animals does the forebrain grow the largest?,1,ENTY
491,What is Kaminfegerkinder?,0,DESC
492,What is stemmatics?,0,DESC
493,What is crosspicking?,0,DESC
494,Who is Frank Shuman?,3,HUM
495,What does Preto mean?,0,DESC
496,"What does ""A/D"" stand for?",2,ABBR
497,What is the Latin for Calalunya?,1,ENTY
498,What is a torta frita?,0,DESC
499,"What is ""Clean Mud""?",0,DESC
500,"Where does the word ""algebra"" come from?",0,DESC
501,Who coined the term phytochoria?,3,HUM
502,Where does its name come from?,0,DESC
503,Why does a computer create hyperlinks?,0,DESC
504,What does Link say when attacking?,0,DESC
505,What must Link collect?,1,ENTY
506,What always follows an initial inquiry of a candidate?,1,ENTY
507,Who was the focus of recruitment by cadre parties?,3,HUM
508,How did Egyptians dye fabrics yellow?,0,DESC
509,Why did early Muslim armies stay inside of cities?,0,DESC
510,What must Australian and New Zealand citizens do in order to apply for residency in Norfolk Island? ,0,DESC
511,What do Australian citizens need in order to travel to Norfolk Island?,1,ENTY
512,What does a Non-American citizen who is a resident need to return from Norfolk Island to the mainland?,1,ENTY
513,How did the Greeks get access to water?,0,DESC
514,What helped form the rivers.,1,ENTY
515,What caused the sea to rise during the Jurassic?,0,DESC
516, What isn't the name of the theory Plutchik created?,1,ENTY
517,What theory wasn't developed by Arnold?,1,ENTY
518,What theory did impetus pave the way for?,0,DESC
519,What sampling rate is used for CD audio?,4,NUM
520,What uses a model of the sound's generator? ,1,ENTY
521,In what practice what most of the vocal music A capella?,1,ENTY
522,What is the meaning of the later-believed pre-Celtic Old European origin of London's name?,0,DESC
523,What does the Castro culture's name mean?,0,DESC
524,"From Nasrani for Syriac, what does Christian mean?",0,DESC
525,How does peristalsis work?,0,DESC
526,What does the ski-jump ramp prevent a unloaded and fueled aircraft from doing?,0,DESC
527,What do aircraft do when landing in order to stop on a long distance?,0,DESC
528,What are pates?,0,DESC
529,What is Sauerkraut typically served with in Alsace?,1,ENTY
530,What word does Choucroute come from?,1,ENTY
531,What does AI stand for?,2,ABBR
532,With whom did von Neumann work on the philosophy of artificial intelligence?,3,HUM
533,What is meant by synthetic chemicals?,0,DESC
534,How do penguins migrate?,0,DESC
535,Where is the cirumrotatory growth in the crab located?,5,LOC
536,What can asexual reproduction techniques prevent annelids from doing?,0,DESC
537,How do the larvae of the parasitoid wasps kill their prey?,0,DESC
538,"What does the Dutch word ""kroes"" mean in English?",0,DESC
539,What is the Spanish connotative understanding of the word madrash?,0,DESC
540,What is the definition of a charity?,0,DESC
541,What is a cardinal bishop?,0,DESC
542,What is an NPO also known as?,2,ABBR
543,Why do the birds fly north?,0,DESC
544,How do penguins migrate?,0,DESC
545,Why are seabirds from the southern hemisphere more likely to migrate?,0,DESC
546,What does non-fissile mean?,0,DESC
547, What does bandolin mean?,0,DESC
548,What does Preto mean?,0,DESC
549,Obsidian is what type of slag?,1,ENTY
550,What type of volcano forms the archipelago?,5,LOC
551,What is a Thysanura?,0,DESC
552,What is also a fruit?,1,ENTY
553,What are Akathists?,0,DESC
554,What is botany?,0,DESC
555,What amendment of the Constitution doesn't cruel and unusual punishment violate?,0,DESC
556,The US Constitution says what to amendments? ,0,DESC
557,What is the 10th Amendment in the United States?,0,DESC
558,Why are Friendly's nonessential for major tournaments?,0,DESC
559,What isn't the term for the feeling of energy or enervation created by an emotional experience?,1,ENTY
560,What did Piraeus Apollo hold in his left hand?,1,ENTY
561,What was placed in the Queens left hand when she was placed in her coffin?,1,ENTY
562,How present was Smith's invisible hand intended to be?,0,DESC
563,"In the so called vicious cycle, what aggravates obesity to continue the cycle?",1,ENTY
564,Where do saturated fats in a diet typically originate from?,5,LOC
565,In what part of Europe did serfdom increase in this period?,5,LOC
566,How did these countries become part of the USSR?,0,DESC
567,How didn't these countries become part of the USSR?,0,DESC
568,How is current brought to the rotor in a synchronous motor?,0,DESC
569,What is the result of using DC power on a DC motor?,0,DESC
570,What do hysteresis synchronous motors' rotors do when slip rate decreases?,0,DESC
571,What did the Japanese government institute? ,1,ENTY
572,What are the most prominent traits of Japanese cuisine?,1,ENTY
573,What colors are worn by KU's athletic teams?,1,ENTY
574,What does the Castro culture's name mean?,0,DESC
575,What is the meaning of the later-believed pre-Celtic Old European origin of London's name?,0,DESC
576,What does the name Shu refer to?,1,ENTY
577,What is the result of using DC power on a DC motor?,0,DESC
578,What is the main feature of a supercapacitor?,0,DESC
579,What do field windings provide?,1,ENTY
580,In what year did Muhammad Ali  finally accept the terms of the London convention?,4,NUM
581,Why couldn't Shawn Michaels defend himself? ,0,DESC
582,What changed the 2015 constitution?,0,DESC
583,What did patriation of the Canadian Constitution remove from the constitution?,1,ENTY
584,What did the Constitution not separate?,0,DESC
