,Reviews,Ratings
97,"the woodman seems to have directly influenced this girl meets girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring",1
98,i could n't recommend this film more,1
99,"an inexperienced director , mehta has much to learn",0
100,"you can taste it , but there 's no fizz",0
101,a reworking of die hard and cliffhanger but it 's nowhere near as exciting as either,0
102,"a moving tale of love and destruction in unexpected places , unexamined lives",1
103,it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing,1
104,why ?,0
105,and that is where ararat went astray,0
106,vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role,1
107,"clockstoppers is one of those crazy , mixed up films that does n't know what it wants to be when it grows up",0
108,"sandra bullock , despite downplaying her good looks , carries a little too much ai n't she cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff",0
109,it 's mostly a pleasure to watch,1
110,its spirit of iconoclastic abandon however canned makes for unexpectedly giddy viewing,1
111,"a kilted jackson is an unsettling sight , and indicative of his , if you will , out of kilter character , who rambles aimlessly through ill conceived action pieces",0
112,i did n't find much fascination in the swinging,0
113,this is no `` waterboy ! '',0
114,"but the nerve raked acting , the crackle of lines , the impressive stagings of hardware , make for some robust and scary entertainment",1
115,baby faced renner is eerily convincing as this bland blank of a man with unimaginable demons within,1
116,the kind of primal storytelling that george lucas can only dream of,1
117,"uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year",1
118,the irwins ' scenes are fascinating the movie as a whole is cheap junk and an insult to their death defying efforts,0
119,"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni",0
120,"he seems to want both , but succeeds in making neither",0
121,"by turns fanciful , grisly and engagingly quixotic",1
122,"the re release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages",1
123,"i 've never seen lrb a remake rrb do anything as stomach turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic",0
124,those who want to be jolted out of their gourd should drop everything and run to ichi,1
125,"mr deeds is , as comedy goes , very silly and in the best way",1
126,"this amiable picture talks tough , but it 's all bluster in the end it 's as sweet as greenfingers",1
127,my little eye is the best little `` horror '' movie i 've seen in years,1
128,"the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt trip parents",0
129,it may work as a jaunt down memory lane for teens and young adults who grew up on televised scooby doo shows or reruns,1
130,suffers from a flat script and a low budget,0
131,"the movie is well done , but slow",0
132,the master of disguise is awful,0
133,the film is one of the year 's best,1
134,one of the year 's most weirdly engaging and unpredictable character pieces,1
135,"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why",0
136,"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling",0
137,"`` looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something",0
138,the most surprising thing about this film is that they are actually releasing it into theaters,0
139,one resurrection too many,0
140,"oh , look at that clever angle !",1
141,"no , i hate it",0
142,"for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them",1
143,the casting of raymond j barry as the ` assassin ' greatly enhances the quality of neil burger 's impressive fake documentary,1
144,"the film is like sitting in a downtown caf , overhearing a bunch of typical late twenty somethings natter on about nothing , and desperately wishing you could change tables",0
145,"the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed",1
146,"a rollicking ride , with jaw dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending",1
147,an hour and a half of joyful solo performance,1
148,contrived pastiche of caper clich s,0
149,"a triumph , a film that hews out a world and carries us effortlessly from darkness to light",1
150,"steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life",1
151,kinnear 's performance is a career defining revelation,1
152,"not only a reminder of how they used to make movies , but also how they sometimes still can be made",1
153,the dragons are the real stars of reign of fire and you wo n't be disappointed,1
154,"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment",0
155,"for devotees of french cinema , safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven",1
156,"scherfig , who has had a successful career in tv , tackles more than she can handle",0
157,"this sade is hardly a perverse , dangerous libertine and agitator which would have made for better drama",0
158,"by the end of the movie , you 're definitely convinced that these women are spectacular",1
159,"a plotline that 's as lumpy as two day old porridge the filmmakers ' paws , sad to say , were all over this `` un bear able '' project !",0
160,the modern day royals have nothing on these guys when it comes to scandals,0
161,essentially `` fatal attraction '' remade for viewers who were in diapers when the original was released in 1987,0
162,"it does n't really know or care about the characters , and uses them as markers for a series of preordained events",0
163,` opening up ' the play more has partly closed it down,0
164,"even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth",1
165,"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings",0
166,"every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat",1
167,the imax screen enhances the personal touch of manual animation,1
168,coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings,0
169,as pedestrian as they come,0
170,"why , you may ask , why should you buy the movie milk when the tv cow is free ?",0
171,"sunk by way too much indulgence of scene chewing , teeth gnashing actorliness",0
172,that 's fun for kids of any age,1
173,raimi and his team could n't have done any better in bringing the story of spider man to the big screen,1
174,"a colorful , joyous celebration of life a tapestry woven of romance , dancing , singing , and unforgettable characters",1
175,a rip roaring comedy action fest that 'll put hairs on your chest,1
176,the premise of jason x is silly but strangely believable,1
177,the modern day characters are nowhere near as vivid as the 19th century ones,0
178,chelsea walls is a case of too many chefs fussing over too weak a recipe,0
179,"the cast keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired",1
180,"lrb the kid 's rrb just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow",0
181,contradicts everything we 've come to expect from movies nowadays,1
182,"there is little question that this is a serious work by an important director who has something new to say about how , in the flip flop of courtship , we often reel in when we should be playing out",1
183,the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal,0
184,the solid filmmaking and convincing characters makes this a high water mark for this genre,1
185,"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away",1
186,"with an admirably dark first script by brent hanley , paxton , making his directorial feature debut , does strong , measured work",1
187,"funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking",1
188,"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be",0
189,"unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either",0
190,schrader examines crane 's decline with unblinking candor,1
191,that the e graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and empathy,1
192,"you would n't want to live waydowntown , but it is a hilarious place to visit",1
193,"the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process",1
194,there 's not one decent performance from the cast and not one clever line of dialogue,0
195,translation ` we do n't need to try very hard ',0
196,"return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages",1
197,"it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well worn situations",0
198,caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose,1
199,a captivating and intimate study about dying and loving,1
200,"oversexed , at times overwrought comedy drama that offers little insight into the experience of being forty , female and single",0
201,the world needs more filmmakers with passionate enthusiasms like martin scorsese,1
202,the director seems to take an unseemly pleasure in lrb the characters ' rrb misery and at the same time to congratulate himself for having the guts to confront it,0
203,the history is fascinating the action is dazzling,1
204,"the unexpected thing is that its dying , in this shower of black and white psychedelia , is quite beautiful",1
205,i also believe that resident evil is not it,0
206,offers a clear eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film,1
207,"meeting , even exceeding expectations , it 's the best sequel since the empire strikes back a majestic achievement , an epic of astonishing grandeur and surprising emotional depth",1
208,"while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds",1
209,"not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season",1
210,may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence,0
211,"death to smoochy tells a moldy oldie , not nearly as nasty as it thinks it is joke",0
212,"spielberg 's picture is smarter and subtler than lrb total recall and blade runner rrb , although its plot may prove too convoluted for fun seeking summer audiences",1
213,"hart 's war seems to want to be a character study , but apparently ca n't quite decide which character",0
214,smaller numbered kidlets will enjoy,1
215,"offers no new insight on the matter , nor do its characters exactly spring to life",0
216,"i 'm convinced i could keep a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking",0
217,"the connected stories of breitbart and hanussen are actually fascinating , but the filmmaking in invincible is such that the movie does not do them justice",0
218,the characters are more deeply thought through than in most ` right thinking ' films,1
219,"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that",1
220,"with a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard",0
221,"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious",0
222,cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want but it 's still damn funny stuff,1
223,"much has been written about those years when the psychedelic '60s grooved over into the gay '70s , but words do n't really do the era justice",1
224,one of the best looking and stylish animated movies in quite a while,1
225,"light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in birthday girl it 's simply , and surprisingly , a nice , light treat",1
226,"it 's good , hard edged stuff , violent and a bit exploitative but also nicely done , morally alert and street smart",1
227,sayles once again strands his superb performers in the same old story,0
228,"high crimes carries almost no organic intrigue as a government marine legal mystery , and that 's because the movie serves up all of that stuff , nearly subliminally , as the old hat province of male intrigue",0
229,nicole kidman makes it a party worth attending,1
230,"bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy",1
231,the gentle comic treatment of adolescent sturm und drang should please fans of chris fuhrman 's posthumously published cult novel,1
232,"shatner is probably the funniest person in the film , which gives you an idea just how bad it was",0
233,"this is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie",0
234,"there 's some outrageously creative action in the transporter lrb b rrb ut by the time frank parachutes down onto a moving truck , it 's just another cartoon with an unstoppable superman",0
235,"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough",1
236,"it might be ` easier ' to watch on video at home , but that should n't stop die hard french film connoisseurs from going out and enjoying the big screen experience",1
237,lrb reno rrb delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well balanced fashion,1
238,"rich in atmosphere of the post war art world , it manages to instruct without reeking of research library dust",1
239,more good than great but freeman and judd make it work,1
240,"it 's nice to see piscopo again after all these years , and chaykin and headly are priceless",1
241,"never again , while nothing special , is pleasant , diverting and modest definitely a step in the right direction",1
242,"if the last man were the last movie left on earth , there would be a toss up between presiding over the end of cinema as we know it and another night of delightful hand shadows",0
243,"she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew",1
244,this is an interesting movie ! '',1
245,"it 's simply stupid , irrelevant and deeply , truly , bottomlessly cynical",0
246,"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction",0
247,"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon bourne or his predicament",0
248,like a can of 2 day old coke,0
249,this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short,1
250,"yes , i suppose it 's lovely that cal works out his issues with his dad and comes to terms with his picture perfect life but world traveler gave me no reason to care , so i did n't",0
251,that the film opens with maggots crawling on a dead dog is not an out of place metaphor,0
252,"if the plot seems a bit on the skinny side , that 's because panic room is interested in nothing more than sucking you in and making you sweat",1
253,drumline ably captures the complicated relationships in a marching band,1
254,"the entire cast is first rate , especially sorvino",1
255,it 's a drag how nettelbeck sees working women or at least this working woman for whom she shows little understanding,0
256,nothing about this movie works,0
257,a solidly entertaining little film,1
258,"lrb `` safe conduct '' rrb is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage",1
259,"although mainstream american movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel",1
260,"a hit and miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped",0
261,"this is an exercise in chilling style , and twohy films the sub , inside and out , with an eye on preserving a sense of mystery",1
262,"hey everybody , wanna watch a movie in which a guy dressed as a children 's party clown gets violently gang raped ?",0
263,"it makes compelling , provocative and prescient viewing",1
264,a flawed but engrossing thriller,1
265,never comes together as a coherent whole,0
266,a decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies,0
267,what sets ms birot 's film apart from others in the genre is a greater attention to the parents and particularly the fateful fathers in the emotional evolution of the two bewitched adolescents,1
268,"like most of jaglom 's films , some of it is honestly affecting , but more of it seems contrived and secondhand",0
269,"it 's a wise and powerful tale of race and culture forcefully told , with superb performances throughout",1
270,one of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm,1
271,"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're doing it for the cash ' sequel were",0
272,i have to admit that i am baffled by jason x,0
273,"the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection",1
274,"a rip off twice removed , modeled after lrb seagal 's rrb earlier copycat under siege , sometimes referred to as die hard on a boat",0
275,"ms seigner and mr serrault bring fresh , unforced naturalism to their characters",1
276,"that 's muy loco , but no more ridiculous than most of the rest of `` dragonfly ''",0
277,but the movie that does n't really deliver for country music fans or for family audiences,0
278,"if you answered yes , by all means enjoy the new guy",1
279,generates an enormous feeling of empathy for its characters,1
280,"the low key direction is pleasingly emphatic in this properly intense , claustrophobic tale of obsessive love",1
281,"those prone to indignation need not apply those susceptible to blue hilarity , step right up",1
282,an intriguing look at the french film industry during the german occupation its most delightful moments come when various characters express their quirky inner selves,1
283,would make an excellent companion piece to the similarly themed ` the french lieutenant 's woman ',1
284,"if you like quirky , odd movies and or the ironic , here 's a fun one",1
285,"no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half",0
286,woody allen can write and deliver a one liner as well as anybody,1
287,the most consistently funny of the austin powers films,1
288,"it 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate gantz brothers as ordinary , pasty lumpen",1
289,paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble in the ghetto flicks,1
290,"the plot has a number of holes , and at times it 's simply baffling",0
291,"the redeeming feature of chan 's films has always been the action , but the stunts in the tuxedo seem tired and , what 's worse , routine",0
292,amazingly lame,0
293,not even felinni would know what to make of this italian freakshow,0
294,"garc a bernal and talanc n are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out",1
295,but certainly hard to hate,1
296,"finely crafted , finely written , exquisitely performed",1
297,parker can not sustain the buoyant energy level of the film 's city beginnings into its country conclusion ',0
298,"the story is a rather simplistic one grief drives her , love drives him , and a second chance to find love in the most unlikely place it struck a chord in me",1
299,a cockeyed shot all the way,0
300,clare peploe 's airless movie adaptation could use a little american pie like irreverence,0
301,"a woefully dull , redundant concept that bears more than a whiff of exploitation , despite iwai 's vaunted empathy",0
302,a cutesy romantic tale with a twist,1
303,about one in three gags in white 's intermittently wise script hits its mark the rest are padding unashamedly appropriated from the teen exploitation playbook,0
304,"it plods along methodically , somehow under the assumption that its `` dead wife communicating from beyond the grave '' framework is even remotely new or interesting",0
305,give credit to everyone from robinson down to the key grip that this bold move works,1
306,"enough said , except film overboard !",0
307,a suffocating rape payback horror show that hinges on the subgenre 's most enabling victim and an ebullient affection for industrial model meat freezers,1
308,"while we no longer possess the lack of attention span that we did at seventeen , we had no trouble sitting for blade ii",1
309,a collage of clich s and a dim echo of allusions to other films,0
310,combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural why did n't hollywood think of this sooner ?,1
311,"if damon and affleck attempt another project greenlight , next time out they might try paying less attention to the miniseries and more attention to the film it is about",0
312,"the screenplay by james eric , james horton and director peter o'fallon is so pat it makes your teeth hurt",0
313,i 'm giving it thumbs down due to the endlessly repetitive scenes of embarrassment,0
314,"not only does leblanc make one spectacularly ugly looking broad , but he appears miserable throughout as he swaggers through his scenes",0
315,"an elegant work , food of love is as consistently engaging as it is revealing",1
316,"the pain , loneliness and insecurity of the screenwriting process are vividly and painfully brought to slovenly life in this self deprecating , biting and witty feature written by charlie kaufman and his twin brother , donald , and directed by spike jonze",1
317,a weak and ineffective ghost story without a conclusion or pay off,0
318,if you 're a fan of the series you 'll love it and probably want to see it twice,1
319,the film never finds its tone and several scenes run too long,0
320,suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as dahmer demands,0
321,it 's not a motion picture it 's an utterly static picture,0
322,it 's probably not easy to make such a worthless film,0
323,the film is bright and flashy in all the right ways,1
324,"a brisk , reverent , and subtly different sequel",1
325,a macabre and very stylized swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters,1
326,does an impressive job of relating the complicated history of the war and of filling in the background,1
327,a fascinating documentary that provides a rounded and revealing overview of this ancient holistic healing system,1
328,a cautionary tale about the folly of superficiality that is itself endlessly superficial,0
329,"quitting , however , manages just to be depressing , as the lead actor phones in his autobiographical performance",0
330,"i did go back and check out the last 10 minutes , but these were more repulsive than the first 30 or 40 minutes",0
331,"in the end , the movie bogs down in insignificance , saying nothing about kennedy 's assassination and revealing nothing about the pathology it pretends to investigate",0
332,it 's refreshing to see a movie that embraces its old fashioned themes and in the process comes out looking like something wholly original,1
333,it must be the end of the world the best film so far this year is a franchise sequel starring wesley snipes,1
334,boomers and their kids will have a barrie good time,1
335,wow,1
336,"if disney 's cinderella proved that ' a dream is a wish your heart makes , ' then cinderella ii proves that a nightmare is a wish a studio 's wallet makes",0
337,"been there , done that a thousand times already , and better",0
338,an infuriating film,0
339,a film with a great premise but only a great premise,1
340,"seagal ran out of movies years ago , and this is just the proof",0
341,a backhanded ode to female camaraderie penned by a man who has little clue about either the nature of women or of friendship,0
342,the fetid underbelly of fame has never looked uglier,0
343,"by halfway through this picture i was beginning to hate it , and , of course , feeling guilty for it then , miracle of miracles , the movie does a flip flop",1
344,"soulless and even more damning virtually joyless , xxx achieves near virtuosity in its crapulence",0
345,"what the movie lacks in action it more than makes up for in drama , suspense , revenge , and romance",1
346,"sweet home alabama is n't going to win any academy awards , but this date night diversion will definitely win some hearts",1
347,it 's a satisfying summer blockbuster and worth a look,1
348,a party hearty teen flick that scalds like acid,0
349,the movie is very funny as you peek at it through the fingers in front of your eyes,1
350,"while the story is better focused than the incomprehensible anne rice novel it 's based upon , queen of the damned is a pointless , meandering celebration of the goth vampire , tortured woe is me lifestyle",0
351,"originality ai n't on the menu , but there 's never a dull moment in the giant spider invasion comic chiller",1
352,"like mike is a slight and uninventive movie like the exalted michael jordan referred to in the title , many can aspire but none can equal",0
353,"the cast , collectively a successful example of the lovable loser protagonist , shows deft comic timing",1
354,"a grittily beautiful film that looks , sounds , and feels more like an extended , open ended poem than a traditionally structured story",1
355,strangely comes off as a kingdom more mild than wild,1
356,"a few hours after you 've seen it , you forget you 've been to the movies",0
357,yet it 's not quite the genre busting film it 's been hyped to be because it plays everything too safe,0
358,"the biggest problem with roger avary 's uproar against the mpaa is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything",0
359,"peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the dogtown experience",1
360,manages to accomplish what few sequels can it equals the original and in some ways even betters it,1
361,the end result is like cold porridge with only the odd enjoyably chewy lump,0
362,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl on girl action,0
363,"despite a quieter middle section , involving aragorn 's dreams of arwen , this is even better than the fellowship",1
364,that such a horrible movie could have sprung from such a great one is one of the year 's worst cinematic tragedies,0
365,a fleet footed and pleasingly upbeat family diversion,1
366,australian filmmaker david flatman uses the huge screen format to make an old fashioned nature film that educates viewers with words and pictures while entertaining them,1
367,`` mr deeds '' is suitable summer entertainment that offers escapism without requiring a great deal of thought,1
368,lame sweet home leaves no southern stereotype unturned,0
369,rice is too pedestrian a filmmaker to bring any edge or personality to the rising place that would set it apart from other deep south stories,0
370,it 's always disappointing when a documentary fails to live up to or offer any new insight into its chosen topic,0
371,"yet another iteration of what 's become one of the movies ' creepiest conventions , in which the developmentally disabled are portrayed with almost supernatural powers to humble , teach and ultimately redeem their mentally `` superior '' friends , family",0
372,you may be galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie,0
373,mr scorsese 's bravery and integrity in advancing this vision can hardly be underestimated,1
374,more intellectually scary than dramatically involving,0
375,"the movie is like a year late for tapping into our reality tv obsession , and even tardier for exploiting the novelty of the `` webcast ''",0
376,fun and nimble,1
377,"when the casting call for this movie went out , it must have read ` seeking anyone with acting ambition but no sense of pride or shame '",0
378,the movie is a desperate miscalculation,0
379,"what they 're doing is a matter of plumbing arrangements and mind games , of no erotic or sensuous charge",0
380,plays like a glossy melodrama that occasionally verges on camp,0
