,text,lbl_index,labels
82,How do penguins migrate?,0,manner
83,From where does the plant get the required minerals?,14,other
84,What is used to determine an execution score?,14,other
85,How is a court hierarchy established?,0,manner
86,What ultimately determined nobility?,5,gr
87,How is steel produced?,0,manner
88,What is the mesothelium made of?,28,substance
89,What is ordinary paper made out of?,28,substance
90,Where does its name come from?,12,desc
91,Who held the original trademark for the iPod name?,4,ind
92,What was the name eventually used for?,9,reason
93,What is the art of writing Chinese characters?,7,def
94,How are Thai characters written similarly to other Unicode scripts?,0,manner
95,What is usually more similar to traditional Chinese characters?,20,termeq
96,What is ordinary paper made out of?,28,substance
97,How is steel produced?,0,manner
98,What is the filament made of?,28,substance
99,How did 19th century scholars view the Hellenistic period?,0,manner
100,How did medieval scholars view the Genesis creation story?,0,manner
101,What was the reaction to the Age of Reason in the later 19th century?,12,desc
102,What are pronounced unaspirated?,36,word
103,"Now pronounced Jidu in Cantonese, how were the characters originally pronounced?",0,manner
104,In South Sami what are pronounced preaspirated?,36,word
105,Where were some of the best-known traditions first recorded?,14,other
106,How is traditional male provided?,0,manner
107,Who started a tradition of naming the head ministers something other than prime minister?,4,ind
108,How did Camilla die?,0,manner
109,What did John XXIII die of?,23,dismed
110,When did the Duchess die?,8,date
111,What type of flooring can be made from wood derivatives?,14,other
112,Where is the newspaper Sudharma published?,14,other
113,Name a smaller newspaper?,1,cremat
114,How many national newspapers out of the three are from New York?,13,count
115,What was hung from the Eiffel Tower?,14,other
116,On what road is the Tower located on?,14,other
117,What is a feature many stereos contain to fight back against unwanted noises?,12,desc
118,What bass settings were needed to eliminate hum?,14,other
119,How does a US NPO apply for tax exempt status?,0,manner
120,What conditions must an authorization letter meet to show income?,12,desc
121,What are the two integers called?,20,termeq
122,The term for whole numbers is what?,20,termeq
123,What do aircraft do when landing in order to stop on a short distance?,12,desc
124,What does the rising air do?,12,desc
125,What is a solar balloon?,7,def
126,What did the Church of Alexandria use to calculate the date of Easter?,14,other
127,What even is tired to the date for Easter?,14,other
128,By what century had almost all churches begun celebrating Easter according to the Alexandrian Easter?,8,date
129,How is depleted uranium not used in missile re-entry vehicles?,0,manner
130,How does hydrogen function when it s burned?,0,manner
131,What is are kind of nuclear force is not time-reversibile?,7,def
132,How is an legitimate webpage created?,0,manner
133,How much energy does an HVAC system use in residential locations?,13,count
134,When did the ACLU first challenge the Patriot Act?,8,date
135,When did the Hispanic Civil Rights Movement occur?,8,date
136,What was the constitution originally provided for? ,12,desc
137,How is a unique blue made?,0,manner
138,What blocks the Siboglinidae's blood?,14,other
139,What is neutrophils the result of?,7,def
140,How do you know if your web cache is secure?,0,manner
141,The conversion of a portion of the chemical energy to cool at each step in a what?,14,other
142,How is the energy from one mole of photos computed?,0,manner
143,"How did Prince Philip's uncle, Lord Mounbatten, die?",0,manner
144,How did Boganda die?,0,manner
145,What was Sir Francis Drake's cause of death?,9,reason
146,Who announces the election of a new pope?,4,ind
147,When was Pope Pius XII elected?,8,date
148,He was elected pope after how many ballots?,13,count
149,How do annelids never reproduce?,0,manner
150,How do fungi communicate with insects?,0,manner
151,How do caterpillars feed during the day?,0,manner
152,How do annelids never reproduce?,0,manner
153,What type of symbiosis seen between bryozoans and hermit crabs?,14,other
154,What can commensal relationships between plants and hermit crabs be considered?,12,desc
155,What is the approximate area of the core of the City of London?,14,other
156,"In square miles, how much of the city's total area is land?",13,count
157,Where can historical licensing records be examined?,14,other
158,What kind of sites contain information that the Wayback Machine does not record?,14,other
159,What are digital photo cameras also called?,20,termeq
160,How do some camera designs give some EI choices?,0,manner
161,How is the USB data transmitted?,0,manner
162,How do renewable energies acquire energy from the sun?,0,manner
163,From where does the plant get the required minerals?,14,other
164,How do genes encode multiple proteins?,0,manner
165,What are private networks primarily intended to use?,14,other
166,"Now pronounced Jidu in Cantonese, how were the characters originally pronounced?",0,manner
167,What year was the first game of the first world series played?,8,date
168,Why were the first three games of the 1945 World Series played in Detroit?,9,reason
169,How did minor college basketball teams begin their season?,0,manner
170,What process begins before a death sentence is handed down at trial?,12,desc
171,What is used to determine an execution score?,14,other
172,By what term are witnesses known in the Xeer system?,20,termeq
173,Water from the rivers is used in over how many hydroelectric power plants?,13,count
174,Where is the Thomson River Dam located?,14,other
175,How is hydrogen used at power stations?,0,manner
176,How do renewable energies acquire energy from the sun?,0,manner
177,Where do the majority of renewable energies derive their energy from?,14,other
178,"What creates wind, cyclones and anti-cyclones?",14,other
179,When did the Russian Empire create pan-slavism?,8,date
180,In what year did the Russians leave Wallachia and Moldavia?,8,date
181,What did Eastern European people want to do with communism?,12,desc
182,Where does its name come from?,12,desc
183,Who came up with the name Glaxo?,4,ind
184,Where does its name come from?,12,desc
185,How did the US intervene against ISIL?,0,manner
186,During what conflict did the US occupy the Marshall Islands?,10,event
187,What war did al-Qaeda start in 1979?,10,event
188,How are views on race influenced?,0,manner
189,What is possible because most real-world data have areas of color?,12,desc
190,Who owned the rights to Oswald the Rabbit?,4,ind
191,What gun are CIA agents issued?,14,other
192,What did Pope John Paul II send to JFK personally?,14,other
193,Why does infrared not cause trouble for devices in adjacent rooms?,9,reason
194,What devices make use of infrared homing?,14,other
195,What device changes infrared radiation to standards published by the Ir DA?,14,other
196,Where was the epicenter?,14,other
197,What did the quake measure?,14,other
198,What are used to create geological maps?,14,other
199,How do the BBC's non-domestic channels generate revenue?,0,manner
200,How is an legitimate webpage created?,0,manner
201,What do Web site owners do with requests?,12,desc
202,Where does Dr. Carlos Moore work?,14,other
203,What does polytetrafluoroethylene suppress?,12,desc
204,What type of helicopter was used for the flight scenes?,44,veh
205,What new type of helicopter was recently acquired?,44,veh
206,How many helicopters can simultaneously land on China's largest military ship?,13,count
207,How is most cotton harvested?,0,manner
208,Silkworms are used by humans for producing what?,14,other
209, How is Houston Private Radio funded?,0,manner
210, How were the madaris funded during the prehistoric period?,0,manner
211,What term describes the nature of how the university is fully funded?,20,termeq
212,"Other than storage, what is the common audio format used for?",14,other
213,What is encoded by audio players?,14,other
214,What did the digital audio document?,7,def
215,How is hydrogen produced when there is no atmospheric oxygen?,0,manner
216,Lower levels of carbon dioxide caused what?,9,reason
217,What is synthesis gas used for?,9,reason
218,How do penguins migrate?,0,manner
219,How do migrating birds navigate?,0,manner
220,How do brent geese migrate?,0,manner
221,How does an induction motor produce torque?,0,manner
222, How doesn't a stepper motor differ from a synchronous motor?,0,manner
223,Why do large PM motors use high energy magnets?,9,reason
224,How much money did Lawrence have to contribute to the University as terms of its charter?,25,money
225,How was the weather during the protest?,0,manner
226,Where could contestants submit a video audition?,14,other
227, What do many paper companies do to ensure the health of oceans?,12,desc
228,What is ordinary paper made out of?,28,substance
229,What type of process is used to produce most paper used in paperback books?,31,techmeth
230,Who built the organ?,4,ind
231,When was the organ last used?,8,date
232,What year was FIG founded?,8,date
233,How did humans cause the aridification of the Sahara?,0,manner
234,What helped form the rivers.,9,reason
235,How did he believe Jesus came into the world?,0,manner
236," What day of the week was September 14, 2011?",8,date
237,"What day of the week was September 15, 2011?",8,date
238,On what day of the week are Star of the Month films aired?,8,date
239,"What creates wind, cyclones and anti-cyclones?",14,other
240,How is a haze formed?,0,manner
241,From where do tropical storms travel from to St. John's?,14,other
242,Who isolated radium in uranium ore?,4,ind
243,How is steel produced?,0,manner
244,What does Schweizer's reagent dissolve?,28,substance
245,What is not a requirement to be a FBI agent?,12,desc
246,What is the minimum age to join the FBI?,27,period
247,What are FBI special agents issued if they fail their first qualification?,14,other
248,How can climate changes be determined from soil?,0,manner
249,What type of scientists rely on windscreens for distant observations?,4,ind
250,What color do Cirrus clouds appear in infrared?,19,color
251,Where are television programs produced?,14,other
252,How many hours of bright sunshine does Nanjing get each year?,13,count
253,"In year-round DST, would sunrise happen early or late compared to most places?",14,other
254,To where can moonlight hours be compared?,14,other
255,How do supernatural entities act?,0,manner
256,How is an arithmetic compressor used for prediction?,0,manner
257,How is the retail market of Mexico City?,0,manner
258,How many days does the Carnival in Uruguay last for?,13,count
259,Why is Brazil an exception?,9,reason
260,How are views on race influenced?,0,manner
261,What are views on race highly dependent on?,12,desc
262,"Who makes the ""Coloured"" people feel ""Not black enough""?",4,ind
263,"Now pronounced Jidu in Cantonese, how were the characters originally pronounced?",0,manner
264,What film was released in 1963?,1,cremat
265,In what city was the world's first feature film shot in 1906?,21,city
266,Who directed the 1962 film?,4,ind
267,Which magazine did Beyonce pose on the cover for in August of 2015?,1,cremat
268,Which magazine advocated for Galician nationalism?,1,cremat
269,What is the name of Britain's best-selling travel magazine?,1,cremat
270,What magazine did Kanye don a thorn crown for the cover of in 2006?,1,cremat
271,Which magazine advocated for Galician nationalism?,1,cremat
272,What news paper was first published in 1974?,1,cremat
273,What is the 2nd-largest Oklahoma newspaper?,1,cremat
274,What political student newspaper is run by the University of Michigan?,1,cremat
275,What is the smallest newspaper in Miami?,1,cremat
276,What sitcom did the Archie Bunker character feature in?,1,cremat
277,What television network originally aired the show House? ,5,gr
278,What was the show called by other networks?,1,cremat
279,What statues are near the ones of teachers and educators?,14,other
280,Which country acquired New France from France?,18,country
281,Who did France restore into power?,4,ind
282,What Morrison song pays homage to his New Haven arrest while mentioning the town by name?,1,cremat
283,What artist died in Plymouth in 2002?,4,ind
284,What was the last Elvis Presley single released on 78?,1,cremat
285,Which Alaskan native starred in a film also set in Alaska?,4,ind
286,Along which river did they hunt bison?,14,other
287,What book was written by Robert Boyle in 1661?,1,cremat
288,What was the name of William Henry Pyne book from 1808?,1,cremat
289,What was John F. Kennedy's criticism of the President based on?,12,desc
290,Which artist made Bobby Troup's song famous?,4,ind
291,What song did Caleb Johnson first release after winning American Idol? ,1,cremat
292,What film was released in 1963?,1,cremat
293,What 1925 film was the first that made use of the three-strip Technicolor process?,1,cremat
294,What film grossed $264 million?,1,cremat
295,What TV show lampooned one of Kanye's BBC Radio 1 interviews?,1,cremat
296,what popular show has aired on the CBC since its inception in 1952?,1,cremat
297,What sitcom did the Archie Bunker character feature in?,1,cremat
298,What book did Frederick Lynch author?,1,cremat
299,What was the name of William Henry Pyne book from 1808?,1,cremat
300,What book describes the 680-690 emissaries from Namri Songsten?,1,cremat
301,What film did Beyonce appear in with Mike Myers?,1,cremat
302,Which thriller film did Beyoncé star in with Ali Larter?,1,cremat
303,What movie did Beyonce act in 2006?,1,cremat
304,What is an early example of the novel from Russia?,1,cremat
305,What was the Russian name given for the creation of this culture during the Romantic era?,20,termeq
306,How many Estonian books were published after 1917 through today?,13,count
307,What was the landmark hard rock album recorded by the Rolling Stones in 1972?,1,cremat
308,What acid rock album did Led Zeppelin record in 1970?,1,cremat
309,What Rolling Stones album got rave reviews in 1972?,1,cremat
310,Who did Tom Cruise play in The Last Samurai?,4,ind
311,What's the title of the comedy movie Schwarzenegger starred in with Danny DeVito in 1988?,1,cremat
312,What British show was American Idol based on?,1,cremat
313,What is a television show from Australia that was shown on the BBC?,1,cremat
314,What series did the UK magazine storyline follow?,1,cremat
315,"What was the first ""Special Edition"" film to be released to home video?",1,cremat
316,What film grossed $264 million?,1,cremat
317,For what movie did Beyonce receive  her first Golden Globe nomination?,1,cremat
318,What part of the Bible was written later than the Old Testament?,14,other
319,During what period was the beginning of the New Testament written?,8,date
320,Who standardized the books of the Old Testament?,4,ind
321,What book did Douglas Stuart summarize?,1,cremat
322,What book was written by Anatole Broyard?,1,cremat
323,What book was written in 1884?,1,cremat
324,In what historical era does the book take place?,10,event
325,When was the Once Upon a Time novel released?,8,date
326,What was the first title published in that joint line of comics?,1,cremat
327,When did comic strips start appearing in hardback collection volumes?,8,date
328,What comics began to dominate in Europe?,1,cremat
329,What is the name of the romantic drama film that Madonna starred in?,1,cremat
330,What sitcom did the Archie Bunker character feature in?,1,cremat
331,What was the show called by other networks?,1,cremat
332,What is 9 in modular addition?,7,def
333,What was the name of the 1909 Cubist sculpture Picassos created?,1,cremat
334,What pope did Caravaggio crate a portrait of?,4,ind
335,What famous French cathedral was ruined by Viollet-le-Duc?,14,other
336,In what film did Donald Moffat play President Bennett?,1,cremat
337,What movie did Beyonce act in 2006?,1,cremat
338,For what film was Paltrow studying Beyonce ?,1,cremat
339,Which Shakespearean play did the School put on in October 2012?,1,cremat
340,What was the title of Pippin?,6,title
341,"Along with Tolkien, what modern scholar notably made use of Old English?",4,ind
342,"Along with J. R. R. Tolkien, who was a noted member of the Inklings?",4,ind
343,What book did Frederick Lynch author?,1,cremat
344,What did John Rawls publish?,1,cremat
345,What book by Alfred Tarski was published in 1972?,1,cremat
346,Name a film role that Madonna acted in.,4,ind
347,In what film did Donald Moffat play President Bennett?,1,cremat
348,What is the name of the romantic drama film that Madonna starred in?,1,cremat
349,What is the name of the book Hayek started upon his arrival in West Germany?,1,cremat
350,Which book has the Heidelberg Catechism adopted?,1,cremat
351,What group moved from hard rock to progressive rock?,5,gr
352,What was the program that CCTV-1 hosted?,1,cremat
353,What computer program controls critical infrastructure?,1,cremat
354,Which artist made Bobby Troup's song famous?,4,ind
355,What singer criticized Carrie Underwood for winning a Country Music Award? ,4,ind
356,Who is credited for first introducing elements of Jazz into a cappella?,4,ind
357,What was the landmark hard rock album recorded by the Rolling Stones in 1972?,1,cremat
358,What Rolling Stones album got rave reviews in 1972?,1,cremat
359,What acid rock album did Led Zeppelin record in 1970?,1,cremat
360,What two epic narratives were written by Homer?,1,cremat
361,Which of Homer's works did the last six books of the Aeneid connect to?,1,cremat
362,What is the name of the world's newest humor magazine?,1,cremat
363,What is the name of Britain's best-selling travel magazine?,1,cremat
364,What is the name of the world's oldest humor magazine?,1,cremat
365,Which Shakespearean play did the School put on in October 2012?,1,cremat
366,What is the name of the yearly event featuring Shakespeare that started in 2011?,10,event
367,What show was judged by Harmony Sweepstakes?,1,cremat
368,What TV show lampooned one of Kanye's BBC Radio 1 interviews?,1,cremat
369,What notable TV show was concerned with FBI investigations of the paranormal?,1,cremat
370,What film was released in 1963?,1,cremat
371,For what movie did Beyonce receive  her first Golden Globe nomination?,1,cremat
372,Which American Idol contestant won an Oscar for Dreamgirls? ,4,ind
373,What are two landmarks in Rome used in filming Spectre?,14,other
374,Where in England were scenes shot that represented a location in Rome?,14,other
375,What is another name for the Eastern Roman Empire?,20,termeq
376,What major award did the book receive in 1961?,14,other
377,How many books were published after 1940?,13,count
378,What news paper was first published in 1974?,1,cremat
379,What was Harrison's first single?,1,cremat
380,What song did Kree Harrison first release after being on American Idol?,1,cremat
381,What notable TV show was concerned with FBI investigations of the paranormal?,1,cremat
382,What was the show called by other networks?,1,cremat
383,What TV program questioned the official account of the crash?,1,cremat
384,Which Alaskan native starred in a film also set in Alaska?,4,ind
385,What was the name of the leader of the Native American village?,4,ind
386,What American tribe was the Army's major campaign against?,5,gr
387,Which strip had a good deal of success as a comic strip?,1,cremat
388,Which strip had no success as a comic strip?,1,cremat
389,Who started the last Japanese comic strip in modern times?,4,ind
390,What F. Scott Fitzgerald novel is Yale not a part of?,1,cremat
391,What book was written by Anatole Broyard?,1,cremat
392,What book was written by Robert Boyle in 1661?,1,cremat
393,On which label did Frank Sinatra release his recording of Soliloquy?,5,gr
394,What was the last Elvis Presley single released on 78?,1,cremat
395,What song by Rod Stewart used the mandolin? ,1,cremat
396,"In a 2009 national readership survey, what newspaper has the highest number of ABC1 25-44 readers?",1,cremat
397,What is New Jersey's largest daily paper?,1,cremat
398,What is the name of Britain's best-selling travel magazine?,1,cremat
399,What film was released in 1963?,1,cremat
400,On which label did Frank Sinatra release his recording of Soliloquy?,5,gr
401,What 1925 film was the first that made use of the three-strip Technicolor process?,1,cremat
402,Which song was Madonna's first global hit?,1,cremat
403,What was the first song released by Diana DeGarmo after coming in second on American Idol?,1,cremat
404,What was Fantasia's coronation song?,1,cremat
405,When was Universal's first version of the Phantom of the Opera made?,8,date
406,Who starred in the 1923 film The Phantom of the Opera?,4,ind
407,What year was the earliest Chopin recording created?,8,date
408,In what film did Donald Moffat play President Bennett?,1,cremat
409,What Spielberg movie provided a fictional account of the slave ship mutiny trials that took place in New Haven?,1,cremat
410,What type of movies came out of Bluebird?,1,cremat
411,"What was the first ""Special Edition"" film to be released to home video?",1,cremat
412,What was one of the very first albums released?,1,cremat
413,What was McPhee's first single?,1,cremat
414,What publication did Burke found?,1,cremat
415,What publication does Ken Tucker work for? ,1,cremat
416,Which publication does Javier Glickman write for?,1,cremat
417,What didn't Donatello study that inspired sculptures?,14,other
418,What is Virgil's most famous work?,1,cremat
419,What work did Virgil write first?,1,cremat
420,When did the Skylab 1 finally come back to Earth?,8,date
421,What is a solar balloon?,7,def
422,What film was released in 1963?,1,cremat
423,What film was known in English as Going Places?,1,cremat
424,"In what year was the film version of Mary, Queen of Scots made?",8,date
425,What library has a tiny assortment of rare books and manuscripts?,14,other
426,What is regarded as the greatest literary work in Old English?,1,cremat
427,Who are some classic historians regarded as literary historians?,4,ind
428,What book was written by Anatole Broyard?,1,cremat
429,Who wrote the only book length- biography of Harper Lee?,4,ind
430,Who wrote the 1895 novel The Walking Drum?,4,ind
431,What was the name of the book in which Jeanie Deans is the protagonist?,1,cremat
432,What television network originally aired the show House? ,5,gr
433,What sitcom did the Archie Bunker character feature in?,1,cremat
434,What was the show called by other networks?,1,cremat
435,Which Bond novel first featured Spectre?,1,cremat
436,"The author, Ian Fleming, created a fictional character named James Bond who prefers to only read what newspaper?",4,ind
437,What is the name of the thirty-fourth James Bond film?,1,cremat
438,What sitcom did the Archie Bunker character feature in?,1,cremat
439,What book was written by Anatole Broyard?,1,cremat
440,What book did Frederick Lynch author?,1,cremat
441,In what textbook did David Randall write his opinion?,1,cremat
442,What are some shows that Attenborough created with the BBC Natural History Unit?,1,cremat
443,On what movie were complex details of film production used?,1,cremat
444,What movie produced in 2000 investigated conspiracy theories surrounding the notorious Skull and Bone Society in New Haven? ,1,cremat
445,What did Chopin play at the funeral?,14,other
446,What was the name of the first act?,1,cremat
447,Which Shakespearean play did the School put on in October 2012?,1,cremat
448,What was the name of the film that Gwyneth Paltrow starred in as a musician?,1,cremat
449,What film was released in 1963?,1,cremat
450,Who directed the 1962 film?,4,ind
451,What bill was adopted by eight votes to ten?,12,desc
452,Which acts were introduced into the US Senate?,12,desc
453,What is the 10th Amendment in the United Nations?,7,def
454,What are the newspapers that are in Hindi and read widely?,1,cremat
455,What online newspaper stopped printing in 2009?,1,cremat
456,"In a 2009 national readership survey, what newspaper has the highest number of ABC1 25-44 readers?",1,cremat
457,At what location is a Christmas tree famously lit every year?,14,other
458,What kind of bird did Aristotle and Pliny the Elder write about?,2,animal
459,Who wrote A History of British Birds?,4,ind
460,What story was written by Child in 1842?,1,cremat
461,What is regarded as the greatest literary work in Old English?,1,cremat
462,What written tradition was maintained in early literature?,14,other
463,What book did Will Eisner create in 1985?,1,cremat
464,What did August von Hayek's father write?,1,cremat
465,What did Heather Levi write?,1,cremat
466,What did Bradley write?,1,cremat
467,What is the most visited art museum in the world?,14,other
468,"Which stelae is considered the largest in the world, standing at 90 feet?",14,other
469,What is the largest makhtesh in the world?,14,other
470,In what film did Donald Moffat play President Bennett?,1,cremat
471,Name a film role that Madonna acted in.,4,ind
472,What movie did Beyonce act in 2006?,1,cremat
473,What book was written in 1884?,1,cremat
474,When was the Once Upon a Time novel released?,8,date
475,Which of Homer's works did the last six books of the Aeneid connect to?,1,cremat
476,What was the name of the 1909 Cubist sculpture Picassos created?,1,cremat
477,What painting of Duchamp's was not controversial?,1,cremat
478,What painter was a late champion of oil as a medium in painting?,4,ind
479,What 1930 musical did Universal produce?,1,cremat
480,What type of music was predominantly played on smooth jazz stations?,1,cremat
481,"Along with soft rock, what type of music made up mainstream rock music in the late 1960s?",1,cremat
482,What is an early example of the novel from Russia?,1,cremat
483,What book was written by Anatole Broyard?,1,cremat
484,What famous Grecian author inspired later authors and their works?,4,ind
485,Who wrote the Akathist Hymn?,4,ind
486,What poem did Franklin Pierce Adams write? ,1,cremat
487,What was the name of the poem by Goethe?,1,cremat
488,What British show was American Idol based on?,1,cremat
489,What series did the UK magazine storyline follow?,1,cremat
490,What is a television show from Australia that was shown on the BBC?,1,cremat
491,In what film did Donald Moffat play President Bennett?,1,cremat
492,How many films has Daniel Craig appeared in as James Bond?,13,count
493,Name a film role that Madonna acted in.,4,ind
494,Which of Homer's works did the last six books of the Aeneid connect to?,1,cremat
495,Which of Homer's works did the first six books of the Aeneid model after?,1,cremat
496,Who is the physician of the Gods in the Iliad?,4,ind
497,What lines comprise the Beijing-Shanghai (Jinghu) line?,14,other
498,What story was written by Child in 1842?,1,cremat
499,What pope most recently issued Papal pronouncements against Freemasons?,4,ind
500,What publication promoted Pope Paul VI's views on abortion?,1,cremat
501,What title is given to the newest member of the order of cardinal priests?,6,title
502,What was the show called by other networks?,1,cremat
503,What is a television show from Australia that was shown on the BBC?,1,cremat
504,what popular show has aired on the CBC since its inception in 1952?,1,cremat
505,What has been used in musical theater on Broadway?,14,other
506,What all-color musical did Universal make in 1930?,1,cremat
507,What 1930 musical did Universal produce?,1,cremat
508,What is the name of the romantic drama film that Madonna starred in?,1,cremat
509,What was the film that Madonna starred in 2000?,1,cremat
510,Name a film role that Madonna acted in.,4,ind
511,What book did Frederick Lynch author?,1,cremat
512,What TV station broadcasts ABC?,1,cremat
513,On what TV station did Red Nose Day appear?,1,cremat
514,What television network originally aired the show House? ,5,gr
515,What was a typical recording time of a song in 1948?,8,date
516,Who has the most number one songs in an active BiIlboard chart?,4,ind
517,Who produced longer arrangements of drum recordings?,4,ind
518,What F. Scott Fitzgerald novel is Yale not a part of?,1,cremat
519,Which author's novels painted a dismal portrait of Victorian London?,4,ind
520,What movement in the '60s did the novel help spark?,10,event
521,What was the film that Madonna starred in 2000?,1,cremat
522,What movie did Beyonce act in 2006?,1,cremat
523,What is the name of the first film Madonna directed?,1,cremat
524,What was the film that Madonna starred in 2000?,1,cremat
525,Which thriller film did Beyoncé star in with Ali Larter?,1,cremat
526,Which 1986 movie contained a Queen theme song?,1,cremat
527,What film was released in 1963?,1,cremat
528,Who directed the 1962 film?,4,ind
529,What 1925 film was the first that made use of the three-strip Technicolor process?,1,cremat
530,What major award did the book receive in 1961?,14,other
531,How many books were published after 1940?,13,count
532,Who wrote the only book length- biography of Harper Lee?,4,ind
533,What has been used in musical theater on Broadway?,14,other
534,What show had 77 performances on Broadway?,1,cremat
535,"Along with Broadway, what New York thoroughfare is associated with Broadway musicals?",14,other
536,Which Alaskan native starred in a film also set in Alaska?,4,ind
537,What was the name of the leader of the Native American village?,4,ind
538,What American tribe was the Army's major campaign against?,5,gr
539,What book on the perceptual theory was written by James Laird?,1,cremat
540,Which of Hayeks books did Milton Friedman praise most?,1,cremat
541,What is the name of the book Hayek started upon his arrival in West Germany?,1,cremat
542,What book did Douglas Stuart summarize?,1,cremat
543,What book was written by Anatole Broyard?,1,cremat
544,What was the name of Roland Barthes' essay?,1,cremat
545,What type of films did Joe Pasternak produce in Germany?,1,cremat
546,Where was Adolf Hitler born?,14,other
547,Who was the original German cinematic?,4,ind
548,What was the name of Kanye's sixth album?,1,cremat
549,What was the name of Kanye's fifth album?,1,cremat
550,What is Madonna's thirteenth album called?,1,cremat
551,What famous Grecian author inspired later authors and their works?,4,ind
552,"In what book did Popper called the conflict ""a storm in a Victorian tea-cup""?",1,cremat
553,What was the name of Roland Barthes' essay?,1,cremat
554,Which Alaskan native starred in a film also set in Alaska?,4,ind
555,What was the name of the leader of the Native American village?,4,ind
556,What Universal-International film was about a talking mule?,1,cremat
557,What title did Time magazine give to JFK in 1994?,6,title
558,What magazine did Larry McKinney contact?,1,cremat
559,What magazine did Kanye don a thorn crown for the cover of in 2006?,1,cremat
560,What is regarded as the greatest literary work in Old English?,1,cremat
561,What is the third best selling single of all time in the UK?,1,cremat
562,What major form of literature appeared in the 20th century?,1,cremat
